yearOfLoss,claim_count,ground_up_loss,actual_payout,rank,exceedance_probability,return_period_years
2017,41604,4197033748.0,4029758940.63,1,0.03571428571428571,28.0
2001,19415,640480308.0,616845855.59,2,0.07142857142857142,14.0
2016,7091,361497434.0,356316262.79,3,0.10714285714285714,9.333333333333334
2008,8680,316052552.0,310775407.89,4,0.14285714285714285,7.0
2015,5951,309208240.0,309882256.72,5,0.17857142857142858,5.6
2019,3246,147889615.0,146408603.24,6,0.21428571428571427,4.666666666666667
2009,4198,113950855.0,113495736.38,7,0.25,4.0
2002,2488,57672058.0,54902668.91,8,0.2857142857142857,3.5
2024,1162,45638781.0,43359114.18,9,0.32142857142857145,3.1111111111111107
2006,2098,44407386.0,43042585.91,10,0.35714285714285715,2.8
2003,1274,26850073.0,25025799.23,11,0.39285714285714285,2.5454545454545454
2007,1161,24555520.0,23423002.16,12,0.42857142857142855,2.3333333333333335
2012,745,14911940.0,14287510.39,13,0.4642857142857143,2.1538461538461537
2013,335,5656186.0,5457920.84,14,0.5,2.0
2020,210,4364413.0,4300499.96,15,0.5357142857142857,1.8666666666666667
2021,202,3009000.0,2945984.85,16,0.5714285714285714,1.75
2014,222,2749683.0,2642545.85,17,0.6071428571428571,1.647058823529412
2023,94,2352639.0,2213768.89,18,0.6428571428571429,1.5555555555555554
2018,112,2301108.0,2196348.89,19,0.6785714285714286,1.4736842105263157
2005,179,2215098.0,1975184.44,20,0.7142857142857143,1.4
2022,95,2147007.0,2078863.19,21,0.75,1.3333333333333333
2010,215,2135114.0,1942079.85,22,0.7857142857142857,1.2727272727272727
2004,218,1877889.0,1764918.46,23,0.8214285714285714,1.2173913043478262
2000,152,1303328.0,1150196.7,24,0.8571428571428571,1.1666666666666667
2025,37,709289.0,676917.6,25,0.8928571428571429,1.1199999999999999
2026,14,267936.0,261689.03000000003,26,0.9285714285714286,1.0769230769230769
2011,13,78350.0,67652.42,27,0.9642857142857143,1.037037037037037
